"","state","gender","school","age","freq"
"337","Mississippi","Male","private","25.to.34",3375
"338","Missouri","Male","private","25.to.34",15446
"339","Montana","Male","private","25.to.34",1072
"340","Nebraska","Male","private","25.to.34",3224
"341","Nevada","Male","private","25.to.34",4320
"342","New Hampshire","Male","private","25.to.34",3133
"343","New Jersey","Male","private","25.to.34",21813
"344","New Mexico","Male","private","25.to.34",2676
"345","New York","Male","private","25.to.34",65441
"346","North Carolina","Male","private","25.to.34",13900
"347","North Dakota","Male","private","25.to.34",854
"348","Ohio","Male","private","25.to.34",19213
"349","Oklahoma","Male","private","25.to.34",4864
"350","Oregon","Male","private","25.to.34",5849
"351","Pennsylvania","Male","private","25.to.34",32618
"352","Rhode Island","Male","private","25.to.34",3216
"353","South Carolina","Male","private","25.to.34",5737
"354","South Dakota","Male","private","25.to.34",1144
"355","Tennessee","Male","private","25.to.34",10563
"356","Texas","Male","private","25.to.34",34526
"357","Utah","Male","private","25.to.34",10500
"358","Vermont","Male","private","25.to.34",1168
"359","Virginia","Male","private","25.to.34",19198
"360","Washington","Male","private","25.to.34",11251
"361","West Virginia","Male","private","25.to.34",2039
"362","Wisconsin","Male","private","25.to.34",8926
"363","Wyoming","Male","private","25.to.34",609
"364","Puerto Rico","Male","private","25.to.34",18823
"365","Alabama","Male","private","35.and.over",5199
"366","Alaska","Male","private","35.and.over",1372
"367","Arizona","Male","private","35.and.over",11614
"368","Arkansas","Male","private","35.and.over",2874
"369","California","Male","private","35.and.over",69429
"370","Colorado","Male","private","35.and.over",10604
"371","Connecticut","Male","private","35.and.over",7372
"372","Delaware","Male","private","35.and.over",1752
"373","District of Columbia","Male","private","35.and.over",2114
"374","Florida","Male","private","35.and.over",38705
"375","Georgia","Male","private","35.and.over",18769
"376","Hawaii","Male","private","35.and.over",3447
"377","Idaho","Male","private","35.and.over",2032
"378","Illinois","Male","private","35.and.over",23841
"379","Indiana","Male","private","35.and.over",8797
"380","Iowa","Male","private","35.and.over",3970
